,device_id,window_start,events,errors,failed_logins,profile_fail,jailbreak_hits,blocked_app_hits,unique_apps,error_rate,fail_ratio,anomaly_score,is_anomaly
count,32238,32238,32238.0,32238.0,32238.0,32238.0,32238.0,32238.0,32238.0,32238.0,32238.0,32238.0,32238
unique,50,720,,,,,,,,,,,2
top,D009,2025-09-09 00:00:00+00:00,,,,,,,,,,,False
freq,716,50,,,,,,,,,,,31252
mean,,,0.03101929400086854,0.024505242260686146,0.0,0.005490415038153731,0.004776971276133755,0.0,0.030895216824865065,0.02414852037967616,0.0,0.9388299522302872,
std,,,0.17585959443198967,0.1564092117029522,0.0,0.07431339228095744,0.06895142708144915,0.0,0.17482001114007545,0.15338619568481215,0.0,0.34438641051234264,
min,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,
25%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
50%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
75%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
max,,,2.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,
